category,count,articleKeys
Diabetic retinopathy / diabetic macular edema,160,"[""00c860e05574"", ""0491ca402c2d"", ""05e2688a7bc5"", ""0612ea3873e7"", ""0a91bafc9ed3"", ""0ab3fcfd31cd"", ""0c2ef5f5f239"", ""0ce423384fd5"", ""0d3ed148cd7e"", ""0d9a70ede5cc"", ""0db96a4e3a4b"", ""0dc2e29b3cdc"", ""115dec251e53"", ""141b13698665"", ""150bc8d96d43"", ""15409c146949"", ""155874664ca6"", ""15e0a0244e47"", ""17531fd94ff0"", ""1904798abdde"", ""19cb602b2f26"", ""1a93f0883cd2"", ""1af22a193a23"", ""1c265355c2df"", ""1ce8b917da06"", ""1d162408014e"", ""1e84cfa9a875"", ""1f86b4feb99a"", ""204d1f7e2d50"", ""20e75922954b"", ""2720fc4ea82f"", ""27c8caa3938d"", ""28d93b251ada"", ""2a6359a3d36d"", ""2add5b135634"", ""2b826e590278"", ""2ce8cb442667"", ""2da4eab59436"", ""2e6b2c0b76cd"", ""2eea02f82a91"", ""2f01198b23e4"", ""328d12f07b05"", ""32e2ad0d0e6f"", ""353e3e1970fc"", ""3546add1d637"", ""3756a39ea98c"", ""38ae9a4c720f"", ""391d2af4c04b"", ""39421d06c383"", ""3a1c9f961d8f"", ""3db5f67e924b"", ""3e68f9e61c54"", ""3ea2dfffb32d"", ""3f146b610a1c"", ""40e5cd2458a7"", ""44ce6e703d06"", ""453d7dda7136"", ""47542dbde500"", ""480eeed24bbb"", ""4f765ccd9085"", ""508a17977cd2"", ""50e92c5d79ed"", ""52c9f6e04e8b"", ""54432e646501"", ""557e974d0f58"", ""5677c19959ca"", ""569ab5ce6be4"", ""573280ef5d40"", ""58564251d58c"", ""5b4074fce93a"", ""5fe18c92b5b8"", ""6347ea09d2bd"", ""685a023a1f71"", ""6b8a4c5793dc"", ""6f739da64bf7"", ""6fe05a02f932"", ""7098a160108d"", ""75bba223bc94"", ""7883c54e265c"", ""7d76dcad4fd1"", ""8548942b07da"", ""86c7ff548539"", ""87ad60e39c6e"", ""88f59ea42ad7"", ""89ed1d75a62e"", ""8a272a0621a3"", ""8ba2213f7ff2"", ""8bade6a0ab7c"", ""8cd265f63120"", ""8e81837a5861"", ""8fdeab605f31"", ""925beb945b38"", ""9431a95feac7"", ""95b36061c90b"", ""9649fa53145e"", ""96ce472e1aee"", ""99087a376207"", ""a25c2affba2e"", ""a2bfc8cc3fd8"", ""a3bb1eb6a59a"", ""a54c7820e8a1"", ""a5c99b438a02"", ""a610a9d426b3"", ""a6145efd1a25"", ""a619076b267e"", ""a6448a70e993"", ""a7e84a899e78"", ""a82536bb0043"", ""a927b9e1445f"", ""ac26cb0e9249"", ""ae427adb3d51"", ""aec455f4c0cd"", ""b22f521050d7"", ""b238b5929a0a"", ""b40acd215682"", ""b531b62923e4"", ""b58821328fea"", ""b5f971387b12"", ""b6ab3131bcdd"", ""baabcdd9106b"", ""c08f2f3d3e8b"", ""c207fd307df3"", ""c40cef1157c4"", ""c644d5188019"", ""c68d30aef47a"", ""c96214dae904"", ""c9fafe5b4ef7"", ""ca0cf545a69a"", ""ca4ed632a93e"", ""cb1c58355a32"", ""ceb81af82ec8"", ""cfa141a99804"", ""cfc9b29316ca"", ""d0f160c2f77b"", ""d1c34bb65deb"", ""d2268865c638"", ""d28892d42ec2"", ""d44a9529bdde"", ""d465424b3564"", ""d4aa814e85dd"", ""daaa7bd24f6d"", ""defa2b6538c8"", ""df4ac708eecf"", ""e5136d5c95b2"", ""e8a1de4c2f1b"", ""ea263bf4d04c"", ""f0f02ae9c681"", ""f1e33c79d14e"", ""f2c1c0d92f35"", ""f41ca0b8e8aa"", ""f486c8a77ee9"", ""f5532f1b6916"", ""f61d97acc9da"", ""f6efab0f4258"", ""fbe51d7b5d32"", ""fbe81ad8d55c"", ""fd535b17cb02"", ""fe5fbf92daa6"", ""ff2b7a54d21d"", ""schlosser2024visualacuity""]"
Age-related macular degeneration,146,"[""00c860e05574"", ""0491ca402c2d"", ""05e2688a7bc5"", ""0612ea3873e7"", ""07c78b773a9e"", ""0d3ed148cd7e"", ""115dec251e53"", ""132472fc1f98"", ""141b13698665"", ""150bc8d96d43"", ""15409c146949"", ""155874664ca6"", ""174dea9e9f2f"", ""17531fd94ff0"", ""175fe9b54084"", ""19cb602b2f26"", ""1af22a193a23"", ""1bf504b7350f"", ""1c265355c2df"", ""1d162408014e"", ""1d794ad5abad"", ""1ecb685fcb6b"", ""1f86b4feb99a"", ""20e75922954b"", ""211a1f5e8c68"", ""2169dad77619"", ""253ecd7dc13d"", ""260b9335a18b"", ""26abc95edfa3"", ""2720fc4ea82f"", ""2b826e590278"", ""2da4eab59436"", ""2e6b2c0b76cd"", ""2eca1541a3a2"", ""2edcd32ecfef"", ""2f01198b23e4"", ""353e3e1970fc"", ""35cf76e0902a"", ""36d500e38d2a"", ""38ae9a4c720f"", ""38c21f05f613"", ""391d2af4c04b"", ""393240c7cec2"", ""39421d06c383"", ""3db5f67e924b"", ""3ea2dfffb32d"", ""3f146b610a1c"", ""4419aec5ed0a"", ""44ce6e703d06"", ""47542dbde500"", ""4caa01410b29"", ""4d67266653bd"", ""4f765ccd9085"", ""5066313c066c"", ""54432e646501"", ""557e974d0f58"", ""5677c19959ca"", ""569ab5ce6be4"", ""573280ef5d40"", ""58564251d58c"", ""59533aad7727"", ""62966ef9fdb8"", ""6347ea09d2bd"", ""685a023a1f71"", ""68f0266deb95"", ""6b5df424652b"", ""6b8a4c5793dc"", ""7098a160108d"", ""74603fc07566"", ""74bd3176c1ed"", ""793fba531335"", ""79e8d2ce0b3d"", ""7abb94fc2719"", ""7f53aa5cb1c9"", ""8529576161e7"", ""86c7ff548539"", ""87ad60e39c6e"", ""884497e0ee92"", ""889c08799ba4"", ""89ed1d75a62e"", ""8a272a0621a3"", ""8bade6a0ab7c"", ""8c8e1aed8a11"", ""8e39b70ae840"", ""8fdeab605f31"", ""925beb945b38"", ""942a7c645311"", ""9431a95feac7"", ""95b36061c90b"", ""96ce472e1aee"", ""9a4a7b8bc450"", ""9f0384c0591e"", ""a2bfc8cc3fd8"", ""a55c19870c66"", ""a5c99b438a02"", ""a610a9d426b3"", ""a6145efd1a25"", ""a6448a70e993"", ""a7e84a899e78"", ""ac26cb0e9249"", ""aec455f4c0cd"", ""b0bb1f653298"", ""b22f521050d7"", ""b531b62923e4"", ""b5813c22bda8"", ""b58821328fea"", ""b5f971387b12"", ""b89fd305580c"", ""babd088bc54d"", ""bc46a6372070"", ""c207fd307df3"", ""c4e8e79b0dc1"", ""c644d5188019"", ""c68d30aef47a"", ""c96214dae904"", ""ca0cf545a69a"", ""cb11e397dac4"", ""cb6fb691c745"", ""cc173c68aaf4"", ""cf651cb4eb97"", ""cfc9b29316ca"", ""d03d952857ab"", ""d0f160c2f77b"", ""d1c34bb65deb"", ""d2268865c638"", ""d28892d42ec2"", ""d465424b3564"", ""d4aa814e85dd"", ""d80e6b8deec9"", ""da86f734d8a3"", ""daaa7bd24f6d"", ""df4ac708eecf"", ""e8a1de4c2f1b"", ""e8da82ecca34"", ""ea263bf4d04c"", ""f1e33c79d14e"", ""f2a564301b9e"", ""f2c1c0d92f35"", ""f486c8a77ee9"", ""f6efab0f4258"", ""f7ff1f18afea"", ""f8c4d3c38c89"", ""fb4151a5b803"", ""fc6b7ff31bec"", ""fd535b17cb02"", ""schlosser2024visualacuity""]"
Retinal fluid / edema,139,"[""00c860e05574"", ""0491ca402c2d"", ""050876505c41"", ""05e2688a7bc5"", ""0612ea3873e7"", ""07fc94724eec"", ""0a91bafc9ed3"", ""0ab3fcfd31cd"", ""0d3ed148cd7e"", ""0d6a03135510"", ""115dec251e53"", ""132472fc1f98"", ""141b13698665"", ""15409c146949"", ""155874664ca6"", ""1648261eab20"", ""17531fd94ff0"", ""1852aed2b535"", ""19cb602b2f26"", ""1bf504b7350f"", ""1c265355c2df"", ""1ce8b917da06"", ""1d162408014e"", ""1ecb685fcb6b"", ""1f86b4feb99a"", ""204d1f7e2d50"", ""20e75922954b"", ""2720fc4ea82f"", ""27c8caa3938d"", ""2a6359a3d36d"", ""2add5b135634"", ""2b826e590278"", ""2ce8cb442667"", ""2e6b2c0b76cd"", ""2f01198b23e4"", ""328d12f07b05"", ""32e2ad0d0e6f"", ""353e3e1970fc"", ""3546add1d637"", ""35cf76e0902a"", ""36d500e38d2a"", ""3756a39ea98c"", ""38ae9a4c720f"", ""391d2af4c04b"", ""39421d06c383"", ""3a1c9f961d8f"", ""3e68f9e61c54"", ""3ea2dfffb32d"", ""3f146b610a1c"", ""40e5cd2458a7"", ""44ce6e703d06"", ""453d7dda7136"", ""47542dbde500"", ""4f765ccd9085"", ""5066313c066c"", ""52c9f6e04e8b"", ""52f6c2705903"", ""54432e646501"", ""557e974d0f58"", ""5677c19959ca"", ""569ab5ce6be4"", ""573280ef5d40"", ""5b4074fce93a"", ""5c42c3c92f41"", ""5fe18c92b5b8"", ""6347ea09d2bd"", ""685a023a1f71"", ""6f739da64bf7"", ""6fe05a02f932"", ""7098a160108d"", ""71adaf3d927c"", ""74603fc07566"", ""75bba223bc94"", ""7883c54e265c"", ""793fba531335"", ""7d76dcad4fd1"", ""7dce1de2a158"", ""7f53aa5cb1c9"", ""8548942b07da"", ""86b8dd7b0271"", ""86c7ff548539"", ""87ad60e39c6e"", ""89ed1d75a62e"", ""8a272a0621a3"", ""8bade6a0ab7c"", ""8e39b70ae840"", ""8fdeab605f31"", ""925beb945b38"", ""92b0beaeeada"", ""9431a95feac7"", ""95b36061c90b"", ""96ce472e1aee"", ""9f0384c0591e"", ""a25c2affba2e"", ""a2bfc8cc3fd8"", ""a5c99b438a02"", ""a610a9d426b3"", ""a6145efd1a25"", ""a619076b267e"", ""a6448a70e993"", ""a7d06d07e6c3"", ""a7e84a899e78"", ""a82536bb0043"", ""a8a58cac35be"", ""ac26cb0e9249"", ""b14e75f5029e"", ""b40acd215682"", ""b531b62923e4"", ""b58821328fea"", ""b6ab3131bcdd"", ""bd6e9fab3138"", ""c08f2f3d3e8b"", ""c207fd307df3"", ""c644d5188019"", ""c68d30aef47a"", ""c96214dae904"", ""ca0cf545a69a"", ""ceb81af82ec8"", ""cfc9b29316ca"", ""d1c34bb65deb"", ""d2268865c638"", ""d28892d42ec2"", ""d465424b3564"", ""d4aa814e85dd"", ""defa2b6538c8"", ""e1bb7788d422"", ""e8a1de4c2f1b"", ""eed82e7dd133"", ""ef369f0c1328"", ""f2c1c0d92f35"", ""f41ca0b8e8aa"", ""f486c8a77ee9"", ""f61d97acc9da"", ""f7ff1f18afea"", ""fbe51d7b5d32"", ""fc6b7ff31bec"", ""fd535b17cb02"", ""ff2b7a54d21d"", ""schlosser2024visualacuity""]"
Glaucoma / optic nerve,85,"[""043684769543"", ""06c0f2ce8149"", ""0c4c0c9dfa22"", ""0cd301461c99"", ""0ce6275d5e29"", ""0dc2e29b3cdc"", ""0ff0aa3f6a75"", ""124df92e6d47"", ""18bd8aebe09b"", ""1a2acf19df20"", ""20c42a23585e"", ""2c2ad7b1aef3"", ""3610864516d6"", ""382c85dc1773"", ""3c2419267f61"", ""40af85c6a674"", ""439dfd13b723"", ""442a6774b300"", ""508a17977cd2"", ""5426dc9b583d"", ""586a2b8617e4"", ""5a7f975813f3"", ""5b2edc0853a8"", ""5d93b7069e25"", ""5eda0c15ead9"", ""617a92840067"", ""62c5fb0e0006"", ""642c3c0cd617"", ""646313884044"", ""671fa968ac45"", ""6d00851b6b2f"", ""720229a10c92"", ""750835f3e51d"", ""7bda019936ec"", ""7e500df4fae1"", ""7f74f101a703"", ""853e0b588e73"", ""87f3cd94ec74"", ""88ef6ab637e1"", ""8a0a26e0ad28"", ""8a3e4d6925f4"", ""8bade6a0ab7c"", ""8d687ff87530"", ""8f6d0f5c5cf3"", ""925beb945b38"", ""9adf89905665"", ""9be93b20f768"", ""9c2426e5689a"", ""9c51cf880908"", ""9f429b61566a"", ""a32e088bd521"", ""b238b5929a0a"", ""b2d92e326400"", ""b42bb6aa4bd0"", ""b43746032b9d"", ""b520d4ed8f29"", ""b531b62923e4"", ""b83bed0b0c18"", ""bbf1a9c65c10"", ""c08be1c96b75"", ""c0c5966a3f98"", ""c40cef1157c4"", ""c7d15e21d947"", ""c989782a8bba"", ""c9bcbbcd10e9"", ""cab0c62174f2"", ""cc7cb78e54ff"", ""cda6f5d653f0"", ""d2883190c5b7"", ""d2f5621f7596"", ""d384c5486fec"", ""d485cdc6f95b"", ""d50d012dbe1d"", ""d5963dc2e2a1"", ""d66c54ff5654"", ""ddff51574c2b"", ""e4edbaa2c127"", ""e5136d5c95b2"", ""ecb3e566bf6f"", ""ed7fd7675fc5"", ""ef7005cea0a5"", ""f32b6992dba5"", ""fad54041dcf2"", ""fb61b5e416fe"", ""fba527f6ce22""]"
Myopia / choroid,78,"[""00c860e05574"", ""0491ca402c2d"", ""0612ea3873e7"", ""07c78b773a9e"", ""0cd301461c99"", ""0d3ed148cd7e"", ""132472fc1f98"", ""141b13698665"", ""14ebc0156334"", ""15409c146949"", ""155874664ca6"", ""175fe9b54084"", ""19cb602b2f26"", ""1a2acf19df20"", ""1bf504b7350f"", ""1d162408014e"", ""1d794ad5abad"", ""2169dad77619"", ""2720fc4ea82f"", ""2b826e590278"", ""2e6b2c0b76cd"", ""2eca1541a3a2"", ""2edcd32ecfef"", ""353e3e1970fc"", ""38ae9a4c720f"", ""391d2af4c04b"", ""39421d06c383"", ""3c2419267f61"", ""3f146b610a1c"", ""4419aec5ed0a"", ""44ce6e703d06"", ""47542dbde500"", ""4a43cf41c93c"", ""4caa01410b29"", ""4f765ccd9085"", ""5025397cedec"", ""5066313c066c"", ""50e92c5d79ed"", ""54432e646501"", ""557e974d0f58"", ""5677c19959ca"", ""569ab5ce6be4"", ""573280ef5d40"", ""685a023a1f71"", ""772fab385995"", ""79e8d2ce0b3d"", ""8529576161e7"", ""86c7ff548539"", ""89ed1d75a62e"", ""8bade6a0ab7c"", ""8fdeab605f31"", ""95b36061c90b"", ""99087a376207"", ""a1593fedce90"", ""a2bfc8cc3fd8"", ""a5c99b438a02"", ""a6145efd1a25"", ""a7e84a899e78"", ""acf81cbadaec"", ""aec455f4c0cd"", ""b531b62923e4"", ""b5784b25a496"", ""c207fd307df3"", ""c3ee99b25fe5"", ""c96214dae904"", ""cb11e397dac4"", ""cc173c68aaf4"", ""d2268865c638"", ""d28892d42ec2"", ""d4aa814e85dd"", ""d4ea2c3251e9"", ""e09d7e8e0f06"", ""e295ef4e6849"", ""e783fc3a548e"", ""e842ed2e802d"", ""e8a1de4c2f1b"", ""ecb3e566bf6f"", ""fd535b17cb02""]"
Retinal vascular disease,65,"[""07c78b773a9e"", ""0c2ef5f5f239"", ""0ce423384fd5"", ""0ce6275d5e29"", ""0d9a70ede5cc"", ""0db96a4e3a4b"", ""15e0a0244e47"", ""175fe9b54084"", ""17819e10c66b"", ""18696a72d2e6"", ""1904798abdde"", ""1a93f0883cd2"", ""1af22a193a23"", ""1f86b4feb99a"", ""28d93b251ada"", ""2e6b2c0b76cd"", ""2edcd32ecfef"", ""2eea02f82a91"", ""4491e0db91c1"", ""45eb1a2f75ff"", ""480eeed24bbb"", ""4caa01410b29"", ""50e92c5d79ed"", ""5228248f6fb3"", ""74bd3176c1ed"", ""793fba531335"", ""79e8d2ce0b3d"", ""7a8d717e87c8"", ""7d76dcad4fd1"", ""7f80043b52dd"", ""88f59ea42ad7"", ""8a0a26e0ad28"", ""8ba2213f7ff2"", ""8e81837a5861"", ""9431a95feac7"", ""9649fa53145e"", ""96ce472e1aee"", ""9c2426e5689a"", ""a25c2affba2e"", ""a927b9e1445f"", ""ae427adb3d51"", ""b43746032b9d"", ""b5f971387b12"", ""b89fd305580c"", ""c0c5966a3f98"", ""c7d15e21d947"", ""c96214dae904"", ""c9fafe5b4ef7"", ""ca4ed632a93e"", ""cb1c58355a32"", ""cfc9b29316ca"", ""d44a9529bdde"", ""d465424b3564"", ""d66c54ff5654"", ""e4ff9553115d"", ""e842ed2e802d"", ""ea263bf4d04c"", ""ecb3e566bf6f"", ""ed7fd7675fc5"", ""f0f02ae9c681"", ""f5532f1b6916"", ""fbe51d7b5d32"", ""fbe81ad8d55c"", ""ff2b7a54d21d"", ""schlosser2024visualacuity""]"
General retina / multi-disease,56,"[""115dec251e53"", ""12df428f0bc9"", ""150bc8d96d43"", ""15409c146949"", ""1af22a193a23"", ""1d162408014e"", ""1d842e8af942"", ""2169dad77619"", ""27c8caa3938d"", ""2b826e590278"", ""353e3e1970fc"", ""38ae9a4c720f"", ""3db5f67e924b"", ""4419aec5ed0a"", ""47542dbde500"", ""5677c19959ca"", ""569ab5ce6be4"", ""5892e7ec15c7"", ""6347ea09d2bd"", ""7043d68f5440"", ""740599fb90ce"", ""769ac8041ab3"", ""83cf8efd6fa3"", ""8bade6a0ab7c"", ""8fdeab605f31"", ""925beb945b38"", ""95b36061c90b"", ""9649fa53145e"", ""96ce472e1aee"", ""98a6512e9253"", ""9c1c75b00f71"", ""9c5dde5cbaf5"", ""a2bfc8cc3fd8"", ""a375579ce8e5"", ""a5c99b438a02"", ""a6145efd1a25"", ""a7e84a899e78"", ""ae048462feb9"", ""b238b5929a0a"", ""b58821328fea"", ""b6aa9a3abc0f"", ""c207fd307df3"", ""c3c03d9a26df"", ""c4ed68d9a886"", ""c644d5188019"", ""cb6fb691c745"", ""cf651cb4eb97"", ""cf8018eec68f"", ""d03d952857ab"", ""d4aa814e85dd"", ""e10d72f899b9"", ""e8da82ecca34"", ""f1e33c79d14e"", ""f49beac306e5"", ""fbc53be7c1ec"", ""ffa998359094""]"
Other / unspecified,45,"[""05e48832d20e"", ""1408e75c41f8"", ""180d4efefd11"", ""185bfa237de7"", ""194a129d30b7"", ""196caa492075"", ""1d4e02a1a00d"", ""21574e4309b4"", ""2573e4102c86"", ""26b86f0f7104"", ""281cfd2b1e25"", ""2d159997288c"", ""2d749d9e9d78"", ""392467f34a8e"", ""3a42efb6c3e0"", ""3cd65c3da6bb"", ""3fa94aec9761"", ""45030507cc63"", ""4f7cb7df4f7d"", ""5eb5c2661c10"", ""64d31fb56e0d"", ""7170b8cc9dcd"", ""7c9a28561793"", ""866ff7d14ed2"", ""873a9a16cc28"", ""8a5b73028348"", ""8b31cb8429dc"", ""8cc1cc25b209"", ""901e5a28ee43"", ""9128d022254b"", ""95091e88a995"", ""9e08b543a80f"", ""a0537c1f5b2f"", ""a0c9a468cb84"", ""aaf83180b688"", ""ad6ea1627565"", ""b3e18537a972"", ""d05cac5388fa"", ""dd322ca792a6"", ""ddb8a8742a4d"", ""de99037c54a3"", ""e2803d839281"", ""e2f6a88e3abc"", ""e53f05541439"", ""f3d102f534b6""]"
Anterior segment / refractive,23,"[""0ff0aa3f6a75"", ""1a2acf19df20"", ""2b6fbc4f0508"", ""2d9526998521"", ""30f9c197297e"", ""345f15624795"", ""35bc3ce0c206"", ""4a43cf41c93c"", ""4afc2a924102"", ""508a17977cd2"", ""607838e1b84c"", ""61ee33ea2db5"", ""8a37722508f8"", ""a823efcedabd"", ""bdec5046af38"", ""d4ea2c3251e9"", ""d6066a07ba35"", ""e783fc3a548e"", ""e842ed2e802d"", ""ed3fec0ec1cd"", ""f3443e988e2f"", ""fabdee03a10a"", ""fe1b54998c1a""]"
Macular hole / vitreomacular interface,22,"[""00c860e05574"", ""132472fc1f98"", ""1f86b4feb99a"", ""2a6359a3d36d"", ""2e6b2c0b76cd"", ""38ae9a4c720f"", ""4764e0c69fc7"", ""5066313c066c"", ""52f6c2705903"", ""6347ea09d2bd"", ""69c68a670872"", ""6d1a19e2da14"", ""925beb945b38"", ""94eb03d655e3"", ""a7d06d07e6c3"", ""afc412821b08"", ""b531b62923e4"", ""b6aa9a3abc0f"", ""d5d70edc6cef"", ""d80e6b8deec9"", ""df4ac708eecf"", ""fcf0638d98ab""]"
Inherited retinal disease,12,"[""0a00ff13084b"", ""1852aed2b535"", ""1d794ad5abad"", ""22edae5415fa"", ""44ce6e703d06"", ""4a43cf41c93c"", ""772fab385995"", ""7dce1de2a158"", ""92b0beaeeada"", ""ef74a70b4670"", ""f6efab0f4258"", ""ffa998359094""]"
